speciesKey,scientificName,matchType,Orig_name,nRecords
4458708,"Mycetophagus salicis Brisout de Barneville, 1862",EXACT,"Mycetophagus salicis Brisout de Barneville, 1862",60
4458728,"Mycetophagus tschitscherini Reitter, 1897",EXACT,"Mycetophagus tschitscherini Reitter, 1897",1
1191382,"Myctides imberbis Lea & A.M., 1906",EXACT,"Myctides imberbis Lea & A.M., 1906",17
5751064,"Mylabris variabilis (Pallas, 1781)",EXACT,"Mylabris variabilis (Pallas, 1781)",1841
6097396,"Myllaena intermedia Erichson, 1837",EXACT,"Myllaena intermedia Erichson, 1837",1181
1240491,"Myllocerus undecimpustulatus Faust, 1891",EXACT,"Myllocerus undecimpustulatus Faust, 1891",475
1170522,"Myocalandra exarata G.A.K.Marshall, 1930",EXACT,"Myocalandra exarata G.A.K.Marshall, 1930",35
1045887,"Myrmechixenus vaporariorum Guérin-Ménéville, 1843",EXACT,"Myrmechixenus vaporariorum Guérin-Ménéville, 1843",139
1041481,"Myrmecocephalus cingulatus (J.L.LeConte, 1866)",EXACT,"Myrmecocephalus cingulatus (J.L.LeConte, 1866)",229
1041477,"Myrmecocephalus concinnus (Erichson, 1839)",EXACT,"Myrmecocephalus concinnus (Erichson, 1839)",347
9940597,"Myrmecosaurus ferrugineus Bruch, 1932",EXACT,"Myrmecosaurus ferrugineus Bruch, 1932",7
1039955,"Nacaeus impressicollis (Motschulsky, 1858)",EXACT,"Nacaeus impressicollis (Motschulsky, 1858)",148
1045471,"Nacerdes melanura (Linnaeus, 1758)",EXACT,"Nacerdes melanura (Linnaeus, 1758)",1736
4454116,"Nalassus alpigradus (Fairmaire, 1882)",EXACT,"Nalassus alpigradus (Fairmaire, 1882)",20
4454135,"Nalassus dermestoides (Illiger, 1798)",EXACT,"Nalassus dermestoides (Illiger, 1798)",76
4454125,"Nalassus laevioctostriatus (Goeze, 1777)",EXACT,"Nalassus laevioctostriatus (Goeze, 1777)",3278
4445330,"Nargus nikitanus (Reitter, 1884)",EXACT,"Nargus nikitanus (Reitter, 1884)",2
1107218,"Nathrius brevipennis (Mulsant, 1839)",EXACT,"Nathrius brevipennis (Mulsant, 1839)",919
1210685,"Naupactus cervinus Boheman, 1840",EXACT,"Naupactus cervinus Boheman, 1840",2850
1210765,"Naupactus leucoloma Boheman, 1840",EXACT,"Naupactus leucoloma Boheman, 1840",1461
8085963,"Naupactus minor Buchanan, 1942",EXACT,"Naupactus minor Buchanan, 1942",9
8149438,"Naupactus peregrinus Buchanan, 1939",EXACT,"Naupactus peregrinus Buchanan, 1939",362
1043819,"Nausibius clavicornis (Kugelann, 1794)",EXACT,"Nausibius clavicornis (Kugelann, 1794)",73
1043816,"Nausibius sahlbergi Grouvelle, 1896-01",EXACT,"Nausibius sahlbergi Grouvelle, 1896-01",1
