"taxon";"habitat_terrestrial";"habitat_freshwater";"habitat_brackish";"habitat_marine"
"Acer spicatum";1;NA;NA;0
"Acer tataricum";1;NA;NA;0
"Acer tataricum ginnala";1;NA;NA;0
"Acer tataricum semenovii";NA;NA;NA;0
"Acer tataricum tataricum";1;NA;NA;0
"Acer tegmentosum";1;NA;NA;0
"Aceratoneuromyia indica";NA;NA;NA;0
"Acericerus ribauti";NA;NA;NA;0
"Acerophagus pallidus";1;NA;NA;0
"Acervulina inhaerens";NA;NA;NA;1
"Achaea ablunaris";NA;NA;NA;0
"Achaea janata";NA;NA;NA;0
"Achatina fulica";1;0;NA;0
"Achatina immaculata";1;0;NA;0
"Acheilognathus asmussii";0;1;0;0
"Acheilognathus cyanostigma";0;1;0;0
"Acheilognathus macropterus";0;1;1;0
"Acheilognathus rhombeus";0;1;0;0
"Acheilognathus tabira";0;1;1;0
"Acheilognathus typus";0;1;0;0
"Achelia sawayai";0;0;0;1
"Acheta domesticus";1;NA;NA;0
"Achetaria azurea";1;NA;NA;0
"Achillea acuminata";1;0;NA;0
"Achillea ageratum";1;0;NA;0
"Achillea alpina";1;0;NA;0
"Achillea arabica";1;0;NA;0
"Achillea cartilaginea";1;0;NA;0
"Achillea coarctata";1;0;NA;0
"Achillea collina";1;0;NA;0
"Achillea crithmifolia";1;0;NA;0
"Achillea distans";1;0;NA;0
"Achillea distans stricta";1;NA;NA;0
"Achillea distans tanacetifolia";1;NA;NA;0
"Achillea falcata";1;0;NA;0
"Achillea filipendulina";1;0;NA;0
"Achillea grandifolia";1;0;NA;0
"Achillea ligustica";1;0;NA;0
"Achillea macrophylla";1;0;NA;0
"Achillea micrantha";1;0;NA;0
"Achillea millefolium";1;0;NA;0
"Achillea millefolium lanulosa";1;NA;NA;0
"Achillea nobilis";1;0;NA;0
"Achillea odorata";1;0;NA;0
"Achillea pannonica";1;0;NA;0
"Achillea ptarmica";1;0;NA;0
"Achillea ptarmica multiplex";1;NA;NA;0
"Achillea roseoalba";1;0;NA;0
"Achillea salicifolia";1;0;NA;0
"Achillea salicifolia salicifolia";1;NA;NA;0
"Achillea setacea";1;0;NA;0
"Achillea tomentosa";1;0;NA;0
"Achillea umbellata";1;0;NA;0
"Achilus flammeus";NA;NA;NA;0
"Achimenes grandiflora";NA;NA;NA;0
"Achimenes longiflora";1;NA;NA;0
"Achimenes pedunculata";1;NA;NA;0
"Achnanthes pseudogroenlandica";NA;NA;NA;1
