scientificName,Taxon,phylum,class
"Oxybasis chenopodioides (L.) S.Fuentes, Uotila & Borsch",Oxybasis chenopodioides,Tracheophyta,Magnoliopsida
"Oxybasis glauca (L.) S.Fuentes, Uotila & Borsch",Oxybasis glauca,Tracheophyta,Magnoliopsida
"Oxybasis macrosperma (Hook.fil.) S.Fuentes, Uotila & Borsch",Oxybasis macrosperma,Tracheophyta,Magnoliopsida
"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch",Oxybasis rubra,Tracheophyta,Magnoliopsida
Oxybasis salina (Standl.) Uotila,Oxybasis salina,Tracheophyta,Magnoliopsida
"Oxybasis urbica (L.) S.Fuentes, Uotila & Borsch",Oxybasis urbica,Tracheophyta,Magnoliopsida
Oxygonum atriplicifolium (Meisn.) Martelli,Oxygonum atriplicifolium,Tracheophyta,Magnoliopsida
Oxygonum sinuatum (Hochst. & Steud. ex Meisn.) Damm.,Oxygonum sinuatum,Tracheophyta,Magnoliopsida
Oxyria digyna (L.) Hill,Oxyria digyna,Tracheophyta,Magnoliopsida
Paramollugo nudicaulis (Lam.) Thulin,Paramollugo nudicaulis,Tracheophyta,Magnoliopsida
Parodia buiningii (Buxb.) N.P.Taylor,Parodia buiningii,Tracheophyta,Magnoliopsida
Parodia herteri (Werderm.) N.P.Taylor,Parodia herteri,Tracheophyta,Magnoliopsida
Paronychia arabica (L.) DC.,Paronychia arabica,Tracheophyta,Magnoliopsida
Paronychia arabica subsp. cossoniana (J.Gay ex Coss.) Batt.,Paronychia arabica cossoniana,Tracheophyta,Magnoliopsida
Paronychia argentea Lam.,Paronychia argentea,Tracheophyta,Magnoliopsida
Paronychia argyrocoma (Michx.) Nutt.,Paronychia argyrocoma,Tracheophyta,Magnoliopsida
Paronychia brasiliana DC.,Paronychia brasiliana,Tracheophyta,Magnoliopsida
Paronychia brasiliana var. pubescens Chaudhri,Paronychia brasiliana pubescens,Tracheophyta,Magnoliopsida
Paronychia chilensis DC.,Paronychia chilensis,Tracheophyta,Magnoliopsida
Paronychia echinulata Chater,Paronychia echinulata,Tracheophyta,Magnoliopsida
Paronychia echinulata subsp. echinulata,Paronychia echinulata echinulata,Tracheophyta,Magnoliopsida
Paronychia fastigiata (Raf.) Fernald,Paronychia fastigiata,Tracheophyta,Magnoliopsida
Paronychia franciscana Eastw.,Paronychia franciscana,Tracheophyta,Magnoliopsida
Paronychia kapela (Hacq.) A.Kern.,Paronychia kapela,Tracheophyta,Magnoliopsida
Paronychia setigera (Gillies ex Hook.) F.Herm.,Paronychia setigera,Tracheophyta,Magnoliopsida
Paronychia suffruticosa (L.) DC.,Paronychia suffruticosa,Tracheophyta,Magnoliopsida
Peniocereus serpentinus (Lag. & Rodrigues) N.P.Taylor,Peniocereus serpentinus,Tracheophyta,Magnoliopsida
Pereskia aculeata Mill.,Pereskia aculeata,Tracheophyta,Magnoliopsida
Pereskia bleo (Kunth) DC.,Pereskia bleo,Tracheophyta,Magnoliopsida
Pereskia grandifolia Haw.,Pereskia grandifolia,Tracheophyta,Magnoliopsida
Pereskia zinniiflora DC.,Pereskia zinniiflora,Tracheophyta,Magnoliopsida
Persicaria acuminata (Kunth) M.Gómez,Persicaria acuminata,Tracheophyta,Magnoliopsida
Persicaria amphibia (L.) Gray,Persicaria amphibia,Tracheophyta,Magnoliopsida
Persicaria angustifolia (Pall.) Ronse Decr.,Persicaria angustifolia,Tracheophyta,Magnoliopsida
Persicaria arifolia (L.) Haraldson,Persicaria arifolia,Tracheophyta,Magnoliopsida
Persicaria barbata (L.) H.Hara,Persicaria barbata,Tracheophyta,Magnoliopsida
"Persicaria bistorta Linnaeus, 1753",Persicaria bistorta,Tracheophyta,Magnoliopsida
Persicaria bungeana (Turcz.) Nakai ex Mori,Persicaria bungeana,Tracheophyta,Magnoliopsida
Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross,Persicaria capitata,Tracheophyta,Magnoliopsida
Persicaria careyi (Olney) Greene,Persicaria careyi,Tracheophyta,Magnoliopsida
Persicaria chinensis (L.) Nakai,Persicaria chinensis,Tracheophyta,Magnoliopsida
Persicaria decipiens (R.Br.) K.L.Wilson,Persicaria decipiens,Tracheophyta,Magnoliopsida
"Persicaria dichotoma (Blume) S.K.Dixit, Datt & G.P.Roy",Persicaria dichotoma,Tracheophyta,Magnoliopsida
Persicaria erectominor (Makino) Nakai,Persicaria erectominor,Tracheophyta,Magnoliopsida
Persicaria extremiorientalis (Vorosch.) Tzvelev,Persicaria extremiorientalis,Tracheophyta,Magnoliopsida
Persicaria filiformis (Thunb.) Nakai,Persicaria filiformis,Tracheophyta,Magnoliopsida
Persicaria glabra (Willd.) M.Gómez,Persicaria glabra,Tracheophyta,Magnoliopsida
Persicaria hydropiper (L.) Spach,Persicaria hydropiper,Tracheophyta,Magnoliopsida
"",Persicaria hydropiper (L.) Delarbre,Tracheophyta,Magnoliopsida
Persicaria hydropiperoides (Michx.) Small,Persicaria hydropiperoides,Tracheophyta,Magnoliopsida
Persicaria hystricula (J.Schust.) Soják,Persicaria hystricula,Tracheophyta,Magnoliopsida
Persicaria lapathifolia (L.) Gray,Persicaria lapathifolia,Tracheophyta,Magnoliopsida
"",Persicaria lapathifolia (L.) Delarbre,Tracheophyta,Magnoliopsida
Persicaria lapathifolia subsp. brittingeri (Opiz) Soják,Persicaria lapathifolia brittingeri,Tracheophyta,Magnoliopsida
Persicaria lapathifolia var. lanigera (R.Br.) Chantar. & Tubtimtong,Persicaria lapathifolia lanigera,Tracheophyta,Magnoliopsida
Persicaria limbata (Meisn.) Hara,Persicaria limbata,Tracheophyta,Magnoliopsida
Persicaria longiseta (Bruyn) Kitag.,Persicaria longiseta,Tracheophyta,Magnoliopsida
Persicaria maculosa Gray,Persicaria maculosa,Tracheophyta,Magnoliopsida
Persicaria maculosa subsp. hirticaulis (Danser) S.Ekman & Knutsson,Persicaria maculosa hirticaulis,Tracheophyta,Magnoliopsida
Persicaria meisneriana (Cham. & Schltdl.) M.Gómez,Persicaria meisneriana,Tracheophyta,Magnoliopsida
Persicaria minor (Huds.) Opiz,Persicaria minor,Tracheophyta,Magnoliopsida
Persicaria mitis (Schrank) Assenov,Persicaria mitis,Tracheophyta,Magnoliopsida
Persicaria nepalensis (Meisn.) H.Gross,Persicaria nepalensis,Tracheophyta,Magnoliopsida
Persicaria odorata (Lour.) Soják,Persicaria odorata,Tracheophyta,Magnoliopsida
Persicaria orientalis (L.) Spach,Persicaria orientalis,Tracheophyta,Magnoliopsida
Persicaria pensylvanica (L.) M.Gómez,Persicaria pensylvanica,Tracheophyta,Magnoliopsida
Persicaria perfoliata (L.) H.Gross,Persicaria perfoliata,Tracheophyta,Magnoliopsida
Persicaria polystachya Opiz,Persicaria polystachya,Tracheophyta,Magnoliopsida
Persicaria posumbu (Buch.-Ham. ex D.Don) H.Gross,Persicaria posumbu,Tracheophyta,Magnoliopsida
Persicaria prostrata (R.Br.) Soják,Persicaria prostrata,Tracheophyta,Magnoliopsida
Persicaria pubescens (Blume) Hara,Persicaria pubescens,Tracheophyta,Magnoliopsida
Persicaria punctata (Elliott) Small,Persicaria punctata,Tracheophyta,Magnoliopsida
Persicaria robustior (Small) E.P.Bicknell,Persicaria robustior,Tracheophyta,Magnoliopsida
Persicaria runcinata (Buch.-Ham. ex D.Don) Masam.,Persicaria runcinata,Tracheophyta,Magnoliopsida
Persicaria sagittata (L.) H.Gross,Persicaria sagittata,Tracheophyta,Magnoliopsida
Persicaria salicifolia (Brouss. ex Willd.) Assenov,Persicaria salicifolia,Tracheophyta,Magnoliopsida
Persicaria senegalensis (Meisn.) Soják,Persicaria senegalensis,Tracheophyta,Magnoliopsida
Persicaria setacea (Baldwin ex Elliott) Small,Persicaria setacea,Tracheophyta,Magnoliopsida
Persicaria strigosa (R.Br.) Nakai,Persicaria strigosa,Tracheophyta,Magnoliopsida
Persicaria thunbergii (Siebold & Zucc.) H.Gross,Persicaria thunbergii,Tracheophyta,Magnoliopsida
Persicaria tinctoria (Aiton) H.Gross,Persicaria tinctoria,Tracheophyta,Magnoliopsida
Persicaria virginiana (L.) Gaertn.,Persicaria virginiana,Tracheophyta,Magnoliopsida
Persicaria viscosa (Buch.-Ham. ex D.Don) H.Gross ex Nakai,Persicaria viscosa,Tracheophyta,Magnoliopsida
Petiveria alliacea L.,Petiveria alliacea,Tracheophyta,Magnoliopsida
Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Tracheophyta,Magnoliopsida
Petrorhagia glumacea (Bory & Chaub.) P.W.Ball & Heywood,Petrorhagia glumacea,Tracheophyta,Magnoliopsida
Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood,Petrorhagia nanteuilii,Tracheophyta,Magnoliopsida
Petrorhagia prolifera (L.) P.W.Ball & Heywood,Petrorhagia prolifera,Tracheophyta,Magnoliopsida
Petrorhagia saxifraga (L.) Link,Petrorhagia saxifraga,Tracheophyta,Magnoliopsida
Phemeranthus calycinus (Engelm.) Kiger,Phemeranthus calycinus,Tracheophyta,Magnoliopsida
Phemeranthus confertiflorus (Greene) Hershk.,Phemeranthus confertiflorus,Tracheophyta,Magnoliopsida
Phytolacca acinosa Roxb.,Phytolacca acinosa,Tracheophyta,Magnoliopsida
Phytolacca americana L.,Phytolacca americana,Tracheophyta,Magnoliopsida
Phytolacca americana var. americana,Phytolacca americana americana,Tracheophyta,Magnoliopsida
Phytolacca bogotensis Kunth,Phytolacca bogotensis,Tracheophyta,Magnoliopsida
Phytolacca dioica L.,Phytolacca dioica,Tracheophyta,Magnoliopsida
Phytolacca dodecandra L'Hér.,Phytolacca dodecandra,Tracheophyta,Magnoliopsida
Phytolacca heterotepala H.Walter,Phytolacca heterotepala,Tracheophyta,Magnoliopsida
Phytolacca icosandra L.,Phytolacca icosandra,Tracheophyta,Magnoliopsida
Phytolacca polyandra Batalin,Phytolacca polyandra,Tracheophyta,Magnoliopsida
Phytolacca rivinoides Kunth & Bouché,Phytolacca rivinoides,Tracheophyta,Magnoliopsida
Pisonia aculeata L.,Pisonia aculeata,Tracheophyta,Magnoliopsida
Pisonia umbellifera (J. & G.Forst.) Seem.,Pisonia umbellifera,Tracheophyta,Magnoliopsida
Plumbago auriculata Lam.,Plumbago auriculata,Tracheophyta,Magnoliopsida
Plumbago indica L.,Plumbago indica,Tracheophyta,Magnoliopsida
Plumbago zeylanica L.,Plumbago zeylanica,Tracheophyta,Magnoliopsida
Polycarpaea corymbosa (L.) Lam.,Polycarpaea corymbosa,Tracheophyta,Magnoliopsida
Polycarpaea eriantha Hochst. ex A.Rich.,Polycarpaea eriantha,Tracheophyta,Magnoliopsida
Polycarpon alsinifolium (Biv.) DC.,Polycarpon alsinifolium,Tracheophyta,Magnoliopsida
Polycarpon apurense Kunth,Polycarpon apurense,Tracheophyta,Magnoliopsida
Polycarpon prostratum Pax,Polycarpon prostratum,Tracheophyta,Magnoliopsida
Polycarpon tetraphyllum (L.) L.,Polycarpon tetraphyllum,Tracheophyta,Magnoliopsida
Polycarpon tetraphyllum subsp. diphyllum (Cav.) O.Bolòs & Font Quer,Polycarpon tetraphyllum diphyllum,Tracheophyta,Magnoliopsida
Polycarpon tetraphyllum subsp. tetraphyllum,Polycarpon tetraphyllum tetraphyllum,Tracheophyta,Magnoliopsida
Polycnemum arvense L.,Polycnemum arvense,Tracheophyta,Magnoliopsida
Polycnemum heuffelii Láng,Polycnemum heuffelii,Tracheophyta,Magnoliopsida
Polycnemum majus A.Braun,Polycnemum majus,Tracheophyta,Magnoliopsida
Polygonum achoreum Blake,Polygonum achoreum,Tracheophyta,Magnoliopsida
Polygonum arenarium Waldst. & Kit.,Polygonum arenarium,Tracheophyta,Magnoliopsida
Polygonum arenarium subsp. arenarium,Polygonum arenarium arenarium,Tracheophyta,Magnoliopsida
Polygonum arenarium subsp. pulchellum (Loisel.) Thell.,Polygonum arenarium pulchellum,Tracheophyta,Magnoliopsida
Polygonum arenastrum Boreau,Polygonum arenastrum,Tracheophyta,Magnoliopsida
Polygonum argyrocoleum Steud. ex Kunze,Polygonum argyrocoleum,Tracheophyta,Magnoliopsida
Polygonum aviculare L.,Polygonum aviculare,Tracheophyta,Magnoliopsida
Polygonum aviculare subsp. aviculare,Polygonum aviculare aviculare,Tracheophyta,Magnoliopsida
Polygonum aviculare subsp. rurivagum (Boreau) Berher,Polygonum aviculare rurivagum,Tracheophyta,Magnoliopsida
Polygonum bellardii All.,Polygonum bellardii,Tracheophyta,Magnoliopsida
Polygonum brasiliense K.Koch,Polygonum brasiliense,Tracheophyta,Magnoliopsida
Polygonum cognatum Meisn.,Polygonum cognatum,Tracheophyta,Magnoliopsida
Polygonum douglasii Greene,Polygonum douglasii,Tracheophyta,Magnoliopsida
Polygonum equisetiforme Sm.,Polygonum equisetiforme,Tracheophyta,Magnoliopsida
Polygonum erectum L.,Polygonum erectum,Tracheophyta,Magnoliopsida
Polygonum fowleri Rob.,Polygonum fowleri,Tracheophyta,Magnoliopsida
Polygonum graminifolium Heuff.,Polygonum graminifolium,Tracheophyta,Magnoliopsida
Polygonum humifusum Mert. ex C.Koch,Polygonum humifusum,Tracheophyta,Magnoliopsida
"Polygonum hydropiperoides Pursh, 1813",Polygonum hydropiperoides,Tracheophyta,Magnoliopsida
Polygonum lacerum Kunth,Polygonum lacerum,Tracheophyta,Magnoliopsida
Polygonum maritimum L.,Polygonum maritimum,Tracheophyta,Magnoliopsida
Polygonum minimum S.Watson,Polygonum minimum,Tracheophyta,Magnoliopsida
"Polygonum orientale Wall., 1829",Polygonum orientale,Tracheophyta,Magnoliopsida
Polygonum oxyspermum C.A.Mey. & Bunge,Polygonum oxyspermum,Tracheophyta,Magnoliopsida
Polygonum oxyspermum subsp. raii (Bab.) D.A.Webb & Chater,Polygonum oxyspermum raii,Tracheophyta,Magnoliopsida
Polygonum patulum M.Bieb.,Polygonum patulum,Tracheophyta,Magnoliopsida
"Polygonum persicaria Wahlenb. ex Nyman, 1881",Polygonum persicaria,Tracheophyta,Magnoliopsida
Polygonum plebejum R.Br.,Polygonum plebejum,Tracheophyta,Magnoliopsida
Polygonum polycnemoides Jaub. & Spach,Polygonum polycnemoides,Tracheophyta,Magnoliopsida
"Polygonum posumbu Wall., 1829",Polygonum posumbu,Tracheophyta,Magnoliopsida
"Polygonum punctatum Kit., 1864",Polygonum punctatum,Tracheophyta,Magnoliopsida
Polygonum ramosissimum Michx.,Polygonum ramosissimum,Tracheophyta,Magnoliopsida
Polygonum ramosissimum subsp. prolificum (Small) Costea & Tardif,Polygonum ramosissimum prolificum,Tracheophyta,Magnoliopsida
Polygonum rigidum Skvortsov,Polygonum rigidum,Tracheophyta,Magnoliopsida
Polygonum romanum subsp. gallicum (Raffaelli) Raffaelli & L.Villar,Polygonum romanum gallicum,Tracheophyta,Magnoliopsida
Polygonum salicifolium Brouss.,Polygonum salicifolium,Tracheophyta,Magnoliopsida
Portulaca amilis Speg.,Portulaca amilis,Tracheophyta,Magnoliopsida
Portulaca biloba Urb.,Portulaca biloba,Tracheophyta,Magnoliopsida
Portulaca cyanosperma Egler,Portulaca cyanosperma,Tracheophyta,Magnoliopsida
Portulaca cypria Danin,Portulaca cypria,Tracheophyta,Magnoliopsida
Portulaca grandiflora Hook.,Portulaca grandiflora,Tracheophyta,Magnoliopsida
Portulaca granulatostellulata (Poelln.) Ricceri & Arrigoni,Portulaca granulatostellulata,Tracheophyta,Magnoliopsida
Portulaca halimoides L.,Portulaca halimoides,Tracheophyta,Magnoliopsida
Portulaca kermesina N.E.Br.,Portulaca kermesina,Tracheophyta,Magnoliopsida
Portulaca lutea So I. ex Seem.,Portulaca lutea,Tracheophyta,Magnoliopsida
Portulaca macrantha (Maire) Ricceri & Arrigoni,Portulaca macrantha,Tracheophyta,Magnoliopsida
Portulaca mauritiensis Poelln.,Portulaca mauritiensis,Tracheophyta,Magnoliopsida
Portulaca nicaraguensis (Danin & H.G.Baker) Danin,Portulaca nicaraguensis,Tracheophyta,Magnoliopsida
Portulaca nitida (Danin & H.G.Baker) Ricceri & Arrigoni,Portulaca nitida,Tracheophyta,Magnoliopsida
Portulaca oleracea L.,Portulaca oleracea,Tracheophyta,Magnoliopsida
Portulaca oleracea subsp. granatus L.,Portulaca oleracea granatus,Tracheophyta,Magnoliopsida
Portulaca oleracea subsp. oleracea,Portulaca oleracea oleracea,Tracheophyta,Magnoliopsida
Portulaca papulosa Schltdl.,Portulaca papulosa,Tracheophyta,Magnoliopsida
Portulaca pilosa L.,Portulaca pilosa,Tracheophyta,Magnoliopsida
Portulaca quadrifida L.,Portulaca quadrifida,Tracheophyta,Magnoliopsida
"Portulaca sardoa Danin, Bagella & Marrosu",Portulaca sardoa,Tracheophyta,Magnoliopsida
Portulaca sativa Haw.,Portulaca sativa,Tracheophyta,Magnoliopsida
Portulaca suffrutescens Engelm.,Portulaca suffrutescens,Tracheophyta,Magnoliopsida
Portulaca thellusonii Lindl.,Portulaca thellusonii,Tracheophyta,Magnoliopsida
"Portulaca trituberculata Danin, Domina & Raimondo",Portulaca trituberculata,Tracheophyta,Magnoliopsida
Portulaca umbraticola Kunth,Portulaca umbraticola,Tracheophyta,Magnoliopsida
Portulacaria afra Jacq.,Portulacaria afra,Tracheophyta,Magnoliopsida
Psammophiliella muralis (L.) Ikonn.,Psammophiliella muralis,Tracheophyta,Magnoliopsida
Psammophiliella tubulosa (Jaub. & Spach) Ikonn.,Psammophiliella tubulosa,Tracheophyta,Magnoliopsida
Psylliostachys leptostachya (Boiss.) Roshkova,Psylliostachys leptostachya,Tracheophyta,Magnoliopsida
Psylliostachys spicata (Willd.) Nevski,Psylliostachys spicata,Tracheophyta,Magnoliopsida
Psylliostachys suworowii (Regel) Roshkova,Psylliostachys suworowii,Tracheophyta,Magnoliopsida
Ptilotus spicatus F.Muell. ex Benth.,Ptilotus spicatus,Tracheophyta,Magnoliopsida
Pupalia lappacea (L.) A.Juss.,Pupalia lappacea,Tracheophyta,Magnoliopsida
Pupalia micrantha Hauman,Pupalia micrantha,Tracheophyta,Magnoliopsida
×Reyllopia conollyana (J.P.Bailey) Galasso,Reyllopia conollyana,Tracheophyta,Magnoliopsida
Reynoutria ×bohemica Chrtek & Chrtková,Reynoutria bohemica,Tracheophyta,Magnoliopsida
Reynoutria japonica Houtt.,Reynoutria japonica,Tracheophyta,Magnoliopsida
Reynoutria japonica var. japonica,Reynoutria japonica japonica,Tracheophyta,Magnoliopsida
Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria sachalinensis,Tracheophyta,Magnoliopsida
Rheum ×hybridum Murray,Rheum hybridum,Tracheophyta,Magnoliopsida
Rheum officinale Baill.,Rheum officinale,Tracheophyta,Magnoliopsida
Rheum palmatum L.,Rheum palmatum,Tracheophyta,Magnoliopsida
Rheum rhabarbarum L.,Rheum rhabarbarum,Tracheophyta,Magnoliopsida
Rheum rhaponticum L.,Rheum rhaponticum,Tracheophyta,Magnoliopsida
Rheum tataricum L.fil.,Rheum tataricum,Tracheophyta,Magnoliopsida
Rhipsalis baccifera (J.S.Muell.) Stearn,Rhipsalis baccifera,Tracheophyta,Magnoliopsida
Rhodalsine geniculata (Poir.) F.N.Williams,Rhodalsine geniculata,Tracheophyta,Magnoliopsida
Rivina humilis L.,Rivina humilis,Tracheophyta,Magnoliopsida
Rumex ×abortivus Ruhmer,Rumex abortivus,Tracheophyta,Magnoliopsida
Rumex abyssinicus Jacq.,Rumex abyssinicus,Tracheophyta,Magnoliopsida
Rumex acetosa L.,Rumex acetosa,Tracheophyta,Magnoliopsida
Rumex acetosella L.,Rumex acetosella,Tracheophyta,Magnoliopsida
Rumex ×akeroydii Rumsey,Rumex akeroydii,Tracheophyta,Magnoliopsida
Rumex ×alexidis B.Boivin,Rumex alexidis,Tracheophyta,Magnoliopsida
Rumex alpinus L.,Rumex alpinus,Tracheophyta,Magnoliopsida
Rumex altissimus Wood,Rumex altissimus,Tracheophyta,Magnoliopsida
Rumex amurensis F.Schmidt,Rumex amurensis,Tracheophyta,Magnoliopsida
Rumex angiocarpus Murb.,Rumex angiocarpus,Tracheophyta,Magnoliopsida
Rumex aquaticus L.,Rumex aquaticus,Tracheophyta,Magnoliopsida
Rumex ×borbasii Blocki,Rumex borbasii,Tracheophyta,Magnoliopsida
Rumex britannica L.,Rumex britannica,Tracheophyta,Magnoliopsida
Rumex brownei Campd.,Rumex brownei,Tracheophyta,Magnoliopsida
Rumex bucephalophorus L.,Rumex bucephalophorus,Tracheophyta,Magnoliopsida
Rumex californicus Rech.fil.,Rumex californicus,Tracheophyta,Magnoliopsida
Rumex chrysocarpus Moris,Rumex chrysocarpus,Tracheophyta,Magnoliopsida
Rumex confertus Willd.,Rumex confertus,Tracheophyta,Magnoliopsida
Rumex confertus × crispus,Rumex confertus × crispus,Tracheophyta,Magnoliopsida
Rumex ×confusus Simonk.,Rumex confusus,Tracheophyta,Magnoliopsida
Rumex conglomeratus Murray,Rumex conglomeratus,Tracheophyta,Magnoliopsida
Rumex conglomeratus x crispus,Rumex conglomeratus x crispus,Tracheophyta,Magnoliopsida
Rumex ×corconticus Kubát,Rumex corconticus,Tracheophyta,Magnoliopsida
Rumex ×cornubiensis Holyoak,Rumex cornubiensis,Tracheophyta,Magnoliopsida
Rumex crispus L.,Rumex crispus,Tracheophyta,Magnoliopsida
Rumex crispus subsp. crispus,Rumex crispus crispus,Tracheophyta,Magnoliopsida
Rumex crispus subsp. japonicus L.,Rumex crispus japonicus,Tracheophyta,Magnoliopsida
Rumex crispus subsp. robustus (Rech.) Pestova,Rumex crispus robustus,Tracheophyta,Magnoliopsida
Rumex cristatus DC.,Rumex cristatus,Tracheophyta,Magnoliopsida
Rumex cristatus x Rumex pulcher,Rumex cristatus x Rumex pulcher,Tracheophyta,Magnoliopsida
Rumex cuneifolius Campd.,Rumex cuneifolius,Tracheophyta,Magnoliopsida
Rumex cyprius Murb.,Rumex cyprius,Tracheophyta,Magnoliopsida
Rumex dentatus L.,Rumex dentatus,Tracheophyta,Magnoliopsida
Rumex dentatus subsp. dentatus,Rumex dentatus dentatus,Tracheophyta,Magnoliopsida
Rumex dentatus subsp. mesopotamicus Rech.fil.,Rumex dentatus mesopotamicus,Tracheophyta,Magnoliopsida
Rumex ×dimidiatus Hausskn.,Rumex dimidiatus,Tracheophyta,Magnoliopsida
Rumex ×dissimilis Rech.fil.,Rumex dissimilis,Tracheophyta,Magnoliopsida
Rumex drummondii Meisn.,Rumex drummondii,Tracheophyta,Magnoliopsida
Rumex ×erubescens Simonk.,Rumex erubescens,Tracheophyta,Magnoliopsida
Rumex evenkiensis Elis.,Rumex evenkiensis,Tracheophyta,Magnoliopsida
Rumex frutescens Thouars,Rumex frutescens,Tracheophyta,Magnoliopsida
Rumex hastatulus Baldwin,Rumex hastatulus,Tracheophyta,Magnoliopsida
Rumex hastatus D.Don,Rumex hastatus,Tracheophyta,Magnoliopsida
Rumex ×hybridus Kindb.,Rumex hybridus,Tracheophyta,Magnoliopsida
Rumex hydrolapathum (Scop.) Huds.,Rumex hydrolapathum,Tracheophyta,Magnoliopsida
Rumex hymenosepalus Torr.,Rumex hymenosepalus,Tracheophyta,Magnoliopsida
Rumex hypogaeus T.M.Schust. & Reveal,Rumex hypogaeus,Tracheophyta,Magnoliopsida
Rumex japonicus Houtt.,Rumex japonicus,Tracheophyta,Magnoliopsida
Rumex kerneri Borbás,Rumex kerneri,Tracheophyta,Magnoliopsida
Rumex ×larinii Borodina,Rumex larinii,Tracheophyta,Magnoliopsida
Rumex longifolius DC.,Rumex longifolius,Tracheophyta,Magnoliopsida
Rumex ×lousleyi D.H.Kent,Rumex lousleyi,Tracheophyta,Magnoliopsida
Rumex lunaria L.,Rumex lunaria,Tracheophyta,Magnoliopsida
Rumex maritimus L.,Rumex maritimus,Tracheophyta,Magnoliopsida
Rumex marschallianus Rchb.,Rumex marschallianus,Tracheophyta,Magnoliopsida
Rumex ×mezei Hausskn.,Rumex mezei,Tracheophyta,Magnoliopsida
Rumex ×mirabilis Rech.fil.,Rumex mirabilis,Tracheophyta,Magnoliopsida
Rumex ×mureti Hausskn.,Rumex mureti,Tracheophyta,Magnoliopsida
Rumex nepalensis Spreng.,Rumex nepalensis,Tracheophyta,Magnoliopsida
Rumex obovatus Danser,Rumex obovatus,Tracheophyta,Magnoliopsida
Rumex obtusifolius L.,Rumex obtusifolius,Tracheophyta,Magnoliopsida
Rumex obtusifolius subsp. sylvestris (Lam.) Celak.,Rumex obtusifolius sylvestris,Tracheophyta,Magnoliopsida
Rumex occidentalis (Michx.) S.Watson,Rumex occidentalis,Tracheophyta,Magnoliopsida
Rumex ×ogulinensis Borbás,Rumex ogulinensis,Tracheophyta,Magnoliopsida
Rumex pallidus Bigelow,Rumex pallidus,Tracheophyta,Magnoliopsida
Rumex palustris Sm.,Rumex palustris,Tracheophyta,Magnoliopsida
Rumex paraguayensis Parodi,Rumex paraguayensis,Tracheophyta,Magnoliopsida
Rumex patientia L.,Rumex patientia,Tracheophyta,Magnoliopsida
Rumex patientia subsp. orientalis Danser,Rumex patientia orientalis,Tracheophyta,Magnoliopsida
Rumex patientia subsp. patientia,Rumex patientia patientia,Tracheophyta,Magnoliopsida
Rumex paulsenianus Rech.fil.,Rumex paulsenianus,Tracheophyta,Magnoliopsida
Rumex persicarioides L.,Rumex persicarioides,Tracheophyta,Magnoliopsida
Rumex ×pratensis Mert. & Koch,Rumex pratensis,Tracheophyta,Magnoliopsida
Rumex ×propinquus Aresch.,Rumex propinquus,Tracheophyta,Magnoliopsida
Rumex pseudoalpinus Höfft,Rumex pseudoalpinus,Tracheophyta,Magnoliopsida
Rumex pseudonatronatus (Borbás) Borbás ex Murb.,Rumex pseudonatronatus,Tracheophyta,Magnoliopsida
Rumex ×pseudopulcher Hausskn.,Rumex pseudopulcher,Tracheophyta,Magnoliopsida
Rumex pulcher L.,Rumex pulcher,Tracheophyta,Magnoliopsida
"Rumex pulcher subsp. divaricatus Linnaeus, 1762",Rumex pulcher divaricatus,Tracheophyta,Magnoliopsida
Rumex pulcher subsp. pulcher,Rumex pulcher pulcher,Tracheophyta,Magnoliopsida
Rumex pulcher subsp. woodsii (De Not.) Arcang.,Rumex pulcher woodsii,Tracheophyta,Magnoliopsida
Rumex pyrenaicus Pourr. ex Lapeyr.,Rumex pyrenaicus,Tracheophyta,Magnoliopsida
Rumex rossicus Murb.,Rumex rossicus,Tracheophyta,Magnoliopsida
Rumex rugosus Campd.,Rumex rugosus,Tracheophyta,Magnoliopsida
Rumex sagittatus Thunb.,Rumex sagittatus,Tracheophyta,Magnoliopsida
Rumex salicifolius Weinm.,Rumex salicifolius,Tracheophyta,Magnoliopsida
Rumex sanguineus L.,Rumex sanguineus,Tracheophyta,Magnoliopsida
Rumex sanguineus var. sanguineus,Rumex sanguineus sanguineus,Tracheophyta,Magnoliopsida
Rumex scutatus L.,Rumex scutatus,Tracheophyta,Magnoliopsida
Rumex ×skofitzii Blocki,Rumex skofitzii,Tracheophyta,Magnoliopsida
Rumex spinosus L.,Rumex spinosus,Tracheophyta,Magnoliopsida
Rumex stenophyllus Ledeb.,Rumex stenophyllus,Tracheophyta,Magnoliopsida
Rumex steudelii Hochst. ex A.Rich.,Rumex steudelii,Tracheophyta,Magnoliopsida
Rumex thyrsiflorus Fingerh.,Rumex thyrsiflorus,Tracheophyta,Magnoliopsida
Rumex triangulivalvis (Danser) Rech.fil.,Rumex triangulivalvis,Tracheophyta,Magnoliopsida
Rumex ucranicus Fisch.,Rumex ucranicus,Tracheophyta,Magnoliopsida
Rumex usambarensis (Engl. ex Dammer) Dammer,Rumex usambarensis,Tracheophyta,Magnoliopsida
Rumex venosus Pursh,Rumex venosus,Tracheophyta,Magnoliopsida
