scientificName,Taxon_origName
Cyanocitta cristata,Cyanocitta cristata
Cyclichthys spilostylus,Cyclichthys spilostylus
Cyclicopora longipora,Cyclicopora longipora
Cycloforina quinquecarinata,Cycloforina quinquecarinata
Cyclopterus lumpus,Cyclopterus lumpus
Cyclorbiculina compressa,Cyclorbiculina compressa
Cycloscala hyalina,Cycloscala hyalina
Cygnus atratus,Cygnus atratus
Cygnus buccinator,Cygnus buccinator
Cygnus columbianus,Cygnus columbianus
Cygnus cygnus,Cygnus cygnus
Cygnus olor,Cygnus olor
Cylindrotheca closterium,Cylindrotheca closterium
Cymadusa filosa,Cymadusa filosa
Cymbaloporetta squammosa,Cymbaloporetta squammosa
Cymodoce fuscina,Cymodoce fuscina
Cymodoce truncata,Cymodoce truncata
Cymodocea nodosa,Cymodocea nodosa
Cymothoa exigua,Cymothoa exigua
Cymothoa indica,Cymothoa indica
Cynoglossus sinusarabici,Cynoglossus sinusarabici
Cynoscion nebulosus,Cynoscion nebulosus
Cynoscion othonopterus,Cynoscion othonopterus
Cynoscion parvipinnis,Cynoscion parvipinnis
Cynoscion xanthulus,Cynoscion xanthulus
Cyprinodon salinus,Cyprinodon salinus
Cyprinodon salinus salinus,Cyprinodon salinus
Cyprinodon variegatus,Cyprinodon variegatus
Cyprinodon variegatus variegatus,Cyprinodon variegatus
Cyprinus carpio,Cyprinus carpio
Cyprinus carpio,Cyprinus carpio carpio
Cyrenoida floridana,Cyrenoida floridana
Cystodytes dellechiajei,Cystodytes dellechiajei
Cystodytes philippinensis,Cystodytes philippinensis
Treptacantha elegans,Cystoseira elegans
Cytospora rhizophorae,Cytospora rhizophorae
Dactylia varia,Dactylia varia
Dactylogyrus anchoratus,Dactylogyrus anchoratus
Dagetichthys lusitanicus,Dagetichthys lusitanicus
Daira perlata,Daira perlata
Daphnia cristata cristata,Daphnia cristata
Daphnia cristata,Daphnia cristata
Daphnia cucullata cucullata,Daphnia cucullata
Daphnia cucullata,Daphnia cucullata
Daphnia galeata,Daphnia galeata
Daphnia longiremis,Daphnia longiremis
Darcythompsonia fairliensis,Darcythompsonia fairliensis
Dascyllus aruanus,Dascyllus aruanus
Dascyllus melanurus,Dascyllus melanurus
Dascyllus trimaculatus,Dascyllus trimaculatus
Dasya baillouviana,Dasya baillouviana
Dasya brasiliensis,Dasya brasiliensis
Dasya sessilis,Dasya sessilis
Dasyatis chrysonota,Dasyatis chrysonota
Dasyphila preissii,Dasyphila preissii
Dasysiphonia japonica,Dasysiphonia japonica
Dawkinsia filamentosa,Dawkinsia filamentosa
Daylithos parmatus,Daylithos parmatus
Decapterus russelli,Decapterus russelli
Delavalia minuta,Delavalia minuta
Delphinapterus leucas,Delphinapterus leucas
Dendostrea frons,Dendostrea
Dendostrea folium,Dendostrea
Dendostrea sandvichensis,Dendostrea
Dendostrea senegalensis,Dendostrea
Dendostrea trapezina,Dendostrea
Dendostrea cristata,Dendostrea
Dendostrea sandvichensis,Dendostrea crenulifera
Dendostrea folium,Dendostrea folium
Dendostrea frons,Dendostrea frons
Dendrobaena octaedra,Dendrobaena octaedra
Dendrocygna arborea,Dendrocygna arborea
Dendrocygna autumnalis,Dendrocygna autumnalis
Dendrocygna bicolor,Dendrocygna bicolor
Dendrocygna javanica,Dendrocygna javanica
Dendrodoris fumata,Dendrodoris fumata
Dendya clathrata,Dendya clathrata
Denticula seminae,Denticula seminae
Derbesia boergesenii,Derbesia boergesenii
Dermogenys pusilla,Dermogenys pusilla
Desdemona ornata,Desdemona ornata
Desmacella meliorata,Desmacella meliorata
Desmarestia ligulata,Desmarestia ligulata
Desmarestia ligulata subsp. ligulata f. distans,Desmarestia ligulata
Desmarestia viridis,Desmarestia viridis
Lauderia pumila,Detonula pumila
Deucalion levringii,Deucalion levringii
Devaleraea ramentacea,Devaleraea ramentacea
Diacronema lutheri,Diacronema lutheri
Diadema antillarum,Diadema antillarum
Diadema antillarum ascensionis,Diadema antillarum
Diadema setosum,Diadema setosum
Diadumene cincta,Diadumene cincta
Diadumene franciscana,Diadumene franciscana
Diadumene leucolena,Diadumene leucolena
Diadumene lineata,Diadumene lineata
Diala semistriata,Diala semistriata
Diamysis bahirensis,Diamysis bahirensis
Diamysis pengoi,Diamysis pengoi
Dicentrarchus labrax,Dicentrarchus labrax
Dicentrarchus punctatus,Dicentrarchus punctatus
Dichogaster bolaui,Dichogaster bolaui
Dichotomyctere fluviatilis,Dichotomyctere fluviatilis
Dichotomyctere nigroviridis,Dichotomyctere nigroviridis
Dicologlossa hexophthalma,Dicologlossa hexophthalma
Dicroerisma psilonereiella,Dicroerisma psilonereiella
Dictyocha fibula,Dictyocha fibula
Dictyocha fibula f. rhombica,Dictyocha fibula
Octactis speculum,Dictyocha speculum
Dictyonella hirta,Dictyonella hirta
Dictyopteris prolifera,Dictyopteris prolifera
Dictyota dichotoma,Dictyota dichotoma
Dictyota dichotoma var. intricata,Dictyota dichotoma
Dictyota flabellata,Dictyota flabellata
Dictyota furcellata,Dictyota furcellata
Dicyathifer mannii,Dicyathifer mannii
Didemnum granulatum,Didemnum
Didemnum molle,Didemnum
Didemnum candidum,Didemnum
Didemnum speciosum,Didemnum
Didemnum albidum,Didemnum
Didemnum biglans,Didemnum
Didemnum maculosum,Didemnum
Didemnum moseleyi,Didemnum
Didemnum vexillum,Didemnum
Didemnum hiopaa,Didemnum
Didemnum lithostrotum,Didemnum
Didemnum lillipution,Didemnum
Didemnum perplexum,Didemnum
Didemnum roberti,Didemnum
Didemnum apersum,Didemnum
Didemnum studeri,Didemnum
Didemnum augusti,Didemnum
Didemnum poecilomorpha,Didemnum
Didemnum ligulum,Didemnum
Didemnum psammatodes,Didemnum
Didemnum multiampullae,Didemnum
Didemnum pica,Didemnum
Didemnum albopunctatum,Didemnum
Didemnum plebeium,Didemnum
Didemnum chartaceum,Didemnum
Didemnum stragulum,Didemnum
Didemnum macrosiphonium,Didemnum
Didemnum tabulatum,Didemnum
Didemnum contortum,Didemnum
Didemnum velum,Didemnum
Didemnum apuroto,Didemnum
Didemnum membranaceum,Didemnum
Didemnum fucatum,Didemnum
Didemnum patulum,Didemnum
Didemnum vanderhorsti,Didemnum
Didemnum perlucidum,Didemnum
Didemnum levitas,Didemnum
Didemnum inauratum,Didemnum
Didemnum cygnuus,Didemnum
Didemnum caesium,Didemnum
Didemnum nigricans,Didemnum
Didemnum conchyliatum,Didemnum
Didemnum pitipiri,Didemnum
Didemnum lutarium,Didemnum
Didemnum parvum,Didemnum
Didemnum cineraceum,Didemnum
Didemnum multispirale,Didemnum
Didemnum arancium,Didemnum
Didemnum coriaceum,Didemnum
Didemnum oblitum,Didemnum
Didemnum carnulentum,Didemnum
Didemnum crescente,Didemnum
Didemnum obscurum,Didemnum
Didemnum abradatum,Didemnum
Didemnum lambitum,Didemnum
Didemnum scopi,Didemnum
Didemnum pecten,Didemnum
Didemnum mutabile,Didemnum
Didemnum astrum,Didemnum
Didemnum lissoclinum,Didemnum
Didemnum tonga,Didemnum
Didemnum fuscum,Didemnum
Didemnum macrospiculatum,Didemnum
Didemnum fragile,Didemnum
Didemnum guttatum,Didemnum
Didemnum grande,Didemnum
Didemnum siphonale,Didemnum
Didemnum tuberatum,Didemnum
Didemnum amethysteum,Didemnum
Didemnum nekozita,Didemnum
Didemnum sordidum,Didemnum
Didemnum maculatum,Didemnum
Didemnum cuculliferum,Didemnum
Didemnum precocinum,Didemnum
Didemnum domesticum,Didemnum
Didemnum flavoviride,Didemnum
Didemnum incanum,Didemnum
Didemnum complexum,Didemnum
Didemnum clavum,Didemnum
Didemnum uturoa,Didemnum
Didemnum ossium,Didemnum
Didemnum linatum,Didemnum
Didemnum toafene,Didemnum
Didemnum granulosum,Didemnum
Didemnum ternerratum,Didemnum
Didemnum coralliforme,Didemnum
Didemnum etiolum,Didemnum
Didemnum nocturnum,Didemnum
Didemnum pellucidum,Didemnum
Didemnum fragum,Didemnum
Didemnum yolky,Didemnum
Didemnum lacertosum,Didemnum
Didemnum spumante,Didemnum
Didemnum vahatuio,Didemnum
Didemnum rodriguesi,Didemnum
Didemnum tapetum,Didemnum
Didemnum halimedae,Didemnum
Didemnum parau,Didemnum
Didemnum dolium,Didemnum
Didemnum jedanense,Didemnum
Didemnum madeleinae,Didemnum
Didemnum parancium,Didemnum
Didemnum spumosum,Didemnum
Didemnum biglutinum,Didemnum
Didemnum duplicatum,Didemnum
Didemnum elongatum,Didemnum
Didemnum amourouxi,Didemnum
Didemnum viride,Didemnum
Didemnum aurantium,Didemnum
Didemnum cerebrale,Didemnum
Didemnum tantulum,Didemnum
Didemnum vulgare,Didemnum
Didemnum spongioides,Didemnum
Didemnum sphaericum,Didemnum
Didemnum bisectatum,Didemnum
Didemnum jucundum,Didemnum
Didemnum megasterix,Didemnum
Didemnum ahu,Didemnum
Didemnum calliginosum,Didemnum
Didemnum nambucciensis,Didemnum
Didemnum spadix,Didemnum
Didemnum diffundum,Didemnum
Didemnum fibriae,Didemnum
Didemnum rottnesti,Didemnum
Didemnum lahillei,Didemnum
Didemnum rota,Didemnum
Didemnum translucidum,Didemnum
Didemnum drachi,Didemnum
Didemnum verdantum,Didemnum
Didemnum densum,Didemnum
Didemnum leopardum,Didemnum
Didemnum dicolla,Didemnum
Didemnum linguiferum,Didemnum
Didemnum sucosum,Didemnum
Didemnum inveteratum,Didemnum
Didemnum algasedens,Didemnum
Didemnum mantile,Didemnum
Didemnum via,Didemnum
Didemnum tumulatum,Didemnum
Didemnum tenue,Didemnum
Didemnum aratore,Didemnum
Didemnum vesica,Didemnum
Didemnum paa,Didemnum
Didemnum effusium,Didemnum
Didemnum usitatum,Didemnum
Didemnum pseudovexillum,Didemnum
Didemnum quincunciale,Didemnum
Didemnum misakiense,Didemnum
Didemnum vesperi,Didemnum
Didemnum asterix,Didemnum
Didemnum fulgens,Didemnum
Didemnum peyrefittense,Didemnum
Didemnum herba,Didemnum
Didemnum rubeum,Didemnum
Didemnum bimasculum,Didemnum
Didemnum candidum,Didemnum candidum
Didemnum granulatum,Didemnum granulatum
Didemnum lahillei,Didemnum lahillei
Didemnum perlucidum,Didemnum perlucidum
Didemnum psammatodes,Didemnum psammatodes
Didemnum rodriguesi,Didemnum rodriguesi
Didemnum vexillum,Didemnum vexillum
Dikerogammarus villosus,Dikerogammarus villosus
Dinophysis acuminata,Dinophysis acuminata
Dinophysis acuta,Dinophysis acuta
Dinophysis caudata,Dinophysis caudata
Dinophysis caudata var. abbreviata,Dinophysis caudata
Dinophysis caudata f. acutiformis,Dinophysis caudata
Dinophysis fortii,Dinophysis fortii
Dinophysis islandica,Dinophysis islandica
Dinophysis miles,Dinophysis miles
Dinophysis nasuta,Dinophysis nasuta
Dinophysis norvegica,Dinophysis norvegica
Dinophysis odiosa,Dinophysis odiosa
Dinophysis recurva,Dinophysis recurva
Phalacroma rotundatum,Dinophysis rotundata
Phalacroma rotundatum var. laevis,Dinophysis rotundata
Dinophysis sacculus,Dinophysis sacculus
Dinophysis similis,Dinophysis similis
Dinophysis tripos,Dinophysis tripos
Diodon eydouxii,Diodon eydouxii
Diodon hystrix,Diodon hystrix
Diodora funiculata,Diodora funiculata
Diodora ruppellii,Diodora ruppellii
Dioithona oculata,Dioithona oculata
Diopatra hupferiana,Diopatra hupferiana
Diopatra hupferiana monroi,Diopatra hupferiana
Diopatra marocensis,Diopatra marocensis
Diphasia digitalis,Diphasia digitalis
Dibothriocephalus latus,Diphyllobothrium latum
Diplocirrus stopbowitzi,Diplocirrus stopbowitzi
Diploprion bifasciatum,Diploprion bifasciatum
Diplopsalopsis orbicularis,Diplopsalopsis orbicularis
Diplopsalopsis orbicularis var. ovata,Diplopsalopsis orbicularis
Diplosoma listerianum,Diplosoma listerianum
Diplothamnion jolyi,Diplothamnion jolyi
Dipolydora armata,Dipolydora armata
Dipolydora blakei,Dipolydora blakei
Dipolydora flava,Dipolydora flava
Dipolydora giardi,Dipolydora giardi
Dipolydora quadrilobata,Dipolydora quadrilobata
Dipolydora socialis,Dipolydora socialis
Dipterygonotus balteatus,Dipterygonotus balteatus
Discinisca tenuis,Discinisca tenuis
Discosoma nummiforme,Discosoma nummiforme
Dispio magna,Dispio magna
Dissodinium pseudocalani,Dissodinium pseudocalani
Distaplia bermudensis,Distaplia bermudensis
Distaplia corolla,Distaplia corolla
Distaplia viridis,Distaplia viridis
Distichlis spicata,Distichlis spicata
Ditylum brightwellii,Ditylum brightwellii
Ditylum brightwellii var. trigona,Ditylum brightwellii
Dodecaceria capensis,Dodecaceria capensis
Dodecaceria fewkesi,Dodecaceria fewkesi
Dorippe quadridens,Dorippe quadridens
Chromolaichma sedna,Doriprismatica sedna
Dormitator latifrons,Dormitator latifrons
Dorosoma cepedianum,Dorosoma cepedianum
Dorosoma petenense,Dorosoma petenense
Dorvillea similis,Dorvillea similis
Dosima fascicularis,Dosima fascicularis
Dosinia erythraea,Dosinia erythraea
Doto kya,Doto kya
Doxander vittatus,Doxander vittatus
Dreissena rostriformis bugensis,Dreissena bugensis
Dreissena polymorpha,Dreissena polymorpha
Dreissena rostriformis bugensis,Dreissena rostriformis
Dromia personata,Dromia personata
Drymonema dalmatinum,Drymonema dalmatinum
Dunaliella salina,Dunaliella salina
Dunaliella tertiolecta,Dunaliella tertiolecta
Dunckerocampus dactyliophorus,Dunckerocampus dactyliophorus
Dussumieria elopsoides,Dussumieria elopsoides
Dynamena disticha,Dynamena disticha
Dynamena quadridentata,Dynamena quadridentata
Dynamene bidentata,Dynamene bidentata
Dynoides dentisinus,Dynoides dentisinus
Dysidea avara,Dysidea avara
Dysidea fragilis,Dysidea fragilis
Dyspanopeus sayi,Dyspanopeus sayi
Echinogammarus berilloni,Echinogammarus berilloni
Echinogammarus ischnus,Echinogammarus ischnus
Echinogammarus marinus,Echinogammarus marinus
Echinogammarus trichiatus,Echinogammarus trichiatus
Echinogammarus warpachowskyi,Echinogammarus warpachowskyi
Echinolittorina punctata,Echinolittorina punctata
Echinus esculentus,Echinus esculentus
Echiodon dentatus,Echiodon dentatus
Ecklonia cava,Ecklonia cava
Ecklonia kurome,Ecklonia kurome
Ecteinascidia imperfecta,Ecteinascidia imperfecta
Ecteinascidia styeloides,Ecteinascidia styeloides
Ecteinascidia thurstoni,Ecteinascidia thurstoni
Ecteinascidia turbinata,Ecteinascidia turbinata
Ectocarpus siliculosus,Ectocarpus siliculosus
Ectocarpus siliculosus var. hiemalis,Ectocarpus siliculosus
Ectopleura crocea,Ectopleura crocea
Ectopleura exxonia,Ectopleura exxonia
Ectopleura larynx,Ectopleura larynx
Edentostomina cultrata,Edentostomina cultrata
Edwardsiella lineata,Edwardsiella lineata
Egretta garzetta,Egretta garzetta
Egretta gularis,Egretta gularis
Egretta novaehollandiae,Egretta novaehollandiae
Einhornia crustulenta,Einhornia crustulenta
Elamena mathoei,Elamena mathoei
Elaphoidella bidens bidens,Elaphoidella bidens
Elasmopus levis,Elasmopus
Elasmopus pocillimanus,Elasmopus
Elasmopus hooheno,Elasmopus
Elasmopus alalo,Elasmopus
Elasmopus rapax,Elasmopus
Elasmopus spinidactylus,Elasmopus
Elasmopus balkomanus,Elasmopus
Elasmopus pectenicrus,Elasmopus
Elasmopus spinicarpus,Elasmopus
Elasmopus yunde,Elasmopus
Elasmopus brasiliensis,Elasmopus
Elasmopus wahine,Elasmopus
Elasmopus thomasi,Elasmopus
Elasmopus arrawarra,Elasmopus
Elasmopus elieri,Elasmopus
Elasmopus warra,Elasmopus
Elasmopus longipropodus,Elasmopus
Elasmopus molokai,Elasmopus
Elasmopus souzafilhoi,Elasmopus
Elasmopus karamani,Elasmopus
Elasmopus neglectus,Elasmopus
Elasmopus bampo,Elasmopus
Elasmopus crenulatus,Elasmopus
Elasmopus arafura,Elasmopus
Elasmopus pseudaffinis,Elasmopus
Elasmopus menurte,Elasmopus
Elasmopus pseudinteger,Elasmopus
Elasmopus ecuadorensis,Elasmopus
Elasmopus bollonsi,Elasmopus
Elasmopus piikoi,Elasmopus
Elasmopus souillacensis,Elasmopus
Elasmopus slatyeri,Elasmopus
Elasmopus lejeunei,Elasmopus
Elasmopus crassimana,Elasmopus
Elasmopus japonicus,Elasmopus
Elasmopus laufolii,Elasmopus
Elasmopus mutatus,Elasmopus
Elasmopus canarius,Elasmopus
Elasmopus steelei,Elasmopus
Elasmopus spinimanus,Elasmopus
Elasmopus gracilis,Elasmopus
Elasmopus seticarpus,Elasmopus
Elasmopus aduncus,Elasmopus
Elasmopus waltersi,Elasmopus
Elasmopus lemaitrei,Elasmopus
Elasmopus sivaprakasami,Elasmopus
Elasmopus spinipalpus,Elasmopus
Elasmopus laminischia,Elasmopus
Elasmopus spinibasus,Elasmopus
Elasmopus puteus,Elasmopus
Elasmopus yahuarhuaci,Elasmopus
Elasmopus diplonyx,Elasmopus
Elasmopus mayo,Elasmopus
Elasmopus takamotus,Elasmopus
Elasmopus lapu,Elasmopus
Elasmopus dubius,Elasmopus
Elasmopus serricatus,Elasmopus
Elasmopus pachacuteci,Elasmopus
Elasmopus veranocephalensis,Elasmopus
Elasmopus viracochai,Elasmopus
Elasmopus incarocai,Elasmopus
Elasmopus palu,Elasmopus
Elasmopus yupanquii,Elasmopus
Elasmopus antennatus,Elasmopus
Elasmopus pectenicrus,Elasmopus pectenicrus
Elasmopus rapax,Elasmopus rapax
Elates ransonnettii,Elates ransonnettii
Elatine hydropiper,Elatine hydropiper
Electra pilosa,Electra pilosa
Electroma vexillum,Electroma vexillum
Eleocharis parvula,Eleocharis parvula
Eleotris melanosoma,Eleotris melanosoma
Eleotris oxycephala,Eleotris oxycephala
Elphidium charlottense,Elphidium charlottense
Elphidium striatopunctatum,Elphidium striatopunctatum
Elphidium vellai,Elphidium vellai
Elymus athericus,Elymus athericus
Elysia grandifolia,Elysia grandifolia
Elysia ornata,Elysia ornata
Elysia tomentosa,Elysia tomentosa
Elysia viridis,Elysia viridis
Emarginula octaviana,Emarginula octaviana
Emiliania huxleyi,Emiliania huxleyi
Enchelycore anatina,Enchelycore anatina
Petalonia binghamiae,Endarachne binghamiae
Endeis biseriata,Endeis biseriata
Endeis nodosa,Endeis nodosa
Engina mendicaria,Engina mendicaria
Engraulis encrasicolus,Engraulis encrasicolus
Engraulis mordax,Engraulis mordax
Enhydra lutris kenyoni,Enhydra lutris
Enhydra lutris,Enhydra lutris
Enhydra lutris nereis,Enhydra lutris
Enhydrosoma hopkinsi,Enhydrosoma hopkinsi
Enhydrosoma lacunae,Enhydrosoma lacunae
Ensiculus cultellus,Ensiculus cultellus
Ensis directus,Ensis directus
Ensis leei,Ensis leei
Enteromius anoplus,Enteromius anoplus
Eocuma rosae,Eocuma rosae
Eocuma sarsii,Eocuma sarsii
Epinephelus caninus,Epinephelus caninus
Epinephelus coioides,Epinephelus coioides
Epinephelus fasciatus,Epinephelus fasciatus
Epinephelus fuscoguttatus,Epinephelus fuscoguttatus
Epinephelus hexagonatus,Epinephelus hexagonatus
Epinephelus irroratus,Epinephelus irroratus
Epinephelus lanceolatus,Epinephelus lanceolatus
Epinephelus malabaricus,Epinephelus malabaricus
Epinephelus merra,Epinephelus merra
Epinephelus ongus,Epinephelus ongus
Epinephelus quoyanus,Epinephelus quoyanus
Epinephelus tauvina,Epinephelus tauvina
Epistomaroides punctulata,Epistomaroides punctulata
Equulites elongatus,Equulites elongatus
Equulites klunzingeri,Equulites klunzingeri
Ercolania boodleae,Ercolania boodleae
Ercolania viridis,Ercolania viridis
Ergalatax contracta,Ergalatax contracta
Ergalatax martensi,Ergalatax martensi
Ergasilus gibbus,Ergasilus gibbus
Ergasilus sieboldi sieboldi,Ergasilus sieboldi
Ericthonius brasiliensis,Ericthonius brasiliensis
Ericthonius difformis,Ericthonius difformis
Ericthonius pugnax,Ericthonius pugnax
Ericthonius punctatus,Ericthonius punctatus
Eriocheir japonica,Eriocheir japonica
Eriocheir sinensis,Eriocheir sinensis
Eriphia verrucosa,Eriphia verrucosa
Erodium cicutarium subsp. dunense,Erodium cicutarium
Erugosquilla massavensis,Erugosquilla massavensis
Eryngium aquaticum,Eryngium aquaticum
Erythrocladia irregularis,Erythrocladia irregularis
Escharina vulgaris,Escharina vulgaris
Esomus metallicus,Esomus metallicus
Esox americanus,Esox americanus
Esox lucius,Esox lucius
Estrilda astrild,Estrilda astrild
Estrilda melpoda,Estrilda melpoda
Etheirophora blepharospora,Etheirophora blepharospora
Ethminolia hemprichii,Ethminolia hemprichii
Ethmodiscus punctiger,Ethmodiscus punctiger
Pseudetroplus maculatus,Etroplus maculatus
Etroplus suratensis,Etroplus suratensis
Etropus crossotus,Etropus crossotus
Etrumeus sadina,Etrumeus sadina
Eualetes tulipa,Eualetes tulipa
Euchaeta concinna,Euchaeta concinna
Eucheilota menoni,Eucheilota menoni
Eucheilota paradoxica,Eucheilota paradoxica
Eucheuma denticulatum,Eucheuma
Eucheuma serra,Eucheuma
Eucheuma odontophorum,Eucheuma
Eucheuma crassum,Eucheuma
Eucheuma arnoldii,Eucheuma
Eucheuma amakusaense,Eucheuma
Eucheuma edule,Eucheuma
Eucheuma platycladum,Eucheuma
Eucheuma chondriforme,Eucheuma
Eucheuma horridum,Eucheuma
Eucheuma odontophorum var. mauritianum,Eucheuma
Eucheuma jugatum,Eucheuma
Eucheuma cervicorne,Eucheuma
Eucheuma denticulatum,Eucheuma denticulatum
Kappaphycus striatus,Eucheuma striatum
Euchone limnicola,Euchone limnicola
Eucidaris tribuloides,Eucidaris tribuloides
Eucidaris tribuloides tribuloides,Eucidaris tribuloides
Eucinostomus argenteus,Eucinostomus argenteus
Eucinostomus gracilis,Eucinostomus gracilis
Eucrate crenata,Eucrate crenata
Eudendrium capillare,Eudendrium capillare
Eudendrium carneum,Eudendrium carneum
Eudendrium generale,Eudendrium generale
Eudendrium merulum,Eudendrium merulum
Eudendrium vaginatum,Eudendrium vaginatum
Eudistoma angolanum,Eudistoma angolanum
Eudistoma elongatum,Eudistoma elongatum
Eudyptes chrysolophus,Eudyptes chrysolophus
Eudyptes moseleyi,Eudyptes moseleyi
Eumetopias jubatus,Eumetopias jubatus
Eumida sanguinea,Eumida sanguinea
Eunice indica,Eunice indica
Eunice tubifex,Eunice tubifex
Euphorbia paralias,Euphorbia paralias
Euplana gracilis,Euplana gracilis
Eupleura sulcidentata,Eupleura sulcidentata
Eurycarcinus integrifrons,Eurycarcinus integrifrons
Eurylana arcuata,Eurylana arcuata
Eurypanopeus depressus,Eurypanopeus depressus
Eurytemora affinis affinis,Eurytemora affinis
Eurytemora americana,Eurytemora americana
Eurytemora carolleeae,Eurytemora carolleeae
Eurytemora pacifica,Eurytemora pacifica
Eurytemora velox,Eurytemora velox
Eurythoe complanata,Eurythoe complanata
Eusarsiella zostericola,Eusarsiella zostericola
Eusyllis kupfferi,Eusyllis kupfferi
Eusynstyela hartmeyeri,Eusynstyela hartmeyeri
Euterpina acutifrons,Euterpina acutifrons
Euthymonacha polita,Euthymonacha polita
Eutintinnus apertus,Eutintinnus apertus
Eutintinnus lusus-undae,Eutintinnus lusus-undae
Eutonina scintillans,Eutonina scintillans
Evadne anonyx,Evadne anonyx
Exaiptasia diaphana,Exaiptasia diaphana
Exechonella antillea,Exechonella antillea
Exogone africana,Exogone africana
Exogone breviantennata,Exogone breviantennata
Exogone verugera,Exogone verugera
Favella brevis,Favella brevis
Favonigobius exquisitus,Favonigobius exquisitus
Favonigobius melanobranchus,Favonigobius melanobranchus
Favorinus ghanensis,Favorinus ghanensis
Fejervarya cancrivora,Fejervarya cancrivora
Fenestrulina delicia,Fenestrulina delicia
Fenestrulina malusii,Fenestrulina malusii
Festuca rubra,Festuca rubra
Fibrocapsa japonica,Fibrocapsa japonica
Ficopomatus enigmaticus,Ficopomatus enigmaticus
Ficopomatus miamiensis,Ficopomatus miamiensis
Ficopomatus uschakovi,Ficopomatus uschakovi
Ficus variegata,Ficus variegata
Filellum serpens,Filellum serpens
Fimbristylis cymosa,Fimbristylis cymosa
Finella pupoides,Finella pupoides
Fistularia commersonii,Fistularia commersonii
Fistularia petimba,Fistularia petimba
Fistulobalanus albicostatus,Fistulobalanus albicostatus
Forsterygion lapillum,Forsterygion lapillum
Forsterygion varium,Forsterygion varium
Fregata magnificens,Fregata magnificens
Fucellia tergina,Fucellia tergina
Fucus distichus,Fucus distichus
Fucus distichus subsp. evanescens,Fucus distichus
Fucus distichus subsp. anceps,Fucus distichus
Fucus distichus subsp. edentatus,Fucus distichus
Fucus distichus subsp. evanescens,Fucus evanescens
Fucus serratus,Fucus serratus
Fucus spiralis,Fucus spiralis
Fulvia australis,Fulvia australis
Fulvia fragilis,Fulvia fragilis
Fundulus diaphanus,Fundulus diaphanus
Fundulus diaphanus,Fundulus diaphanus diaphanus
Fundulus grandis,Fundulus grandis
Fundulus heteroclitus,Fundulus heteroclitus
Fundulus heteroclitus macrolepidotus,Fundulus heteroclitus
Fundulus heteroclitus heteroclitus,Fundulus heteroclitus
Fundulus zebrinus,Fundulus zebrinus
Fusarium oxysporum,Fusarium oxysporum
Marmorofusus verrucosus,Fusinus verrucosus
Gadus morhua,Gadus morhua
Gafrarium pectinatum,Gafrarium pectinatum
Gaidropsarus granti,Gaidropsarus granti
Galaxaura rugosa,Galaxaura rugosa
Galeocerdo cuvier,Galeocerdo cuvier
Hypotaenidia philippensis macquariensis,Gallirallus philippensis
Gambierdiscus carpenteri,Gambierdiscus
Gambierdiscus excentricus,Gambierdiscus
Gambierdiscus australes,Gambierdiscus
Gambierdiscus carolinianus,Gambierdiscus
Gambierdiscus caribaeus,Gambierdiscus
Gambierdiscus polynesiensis,Gambierdiscus
Gambierdiscus balechii,Gambierdiscus
Gambierdiscus toxicus,Gambierdiscus
Gambierdiscus belizeanus,Gambierdiscus
Gambierdiscus honu,Gambierdiscus
Gambierdiscus scabrosus,Gambierdiscus
Gambierdiscus jejuensis,Gambierdiscus
Gambierdiscus pacificus,Gambierdiscus
Gambierdiscus cheloniae,Gambierdiscus
Gambierdiscus silvae,Gambierdiscus
Gambierdiscus lapillus,Gambierdiscus
Gambusia affinis,Gambusia affinis
Gambusia holbrooki,Gambusia holbrooki
Gammaropsis togoensis,Gammaropsis togoensis
Gammarus lacustris,Gammarus lacustris
Gammarus pulex pulex,Gammarus pulex
Gammarus tigrinus,Gammarus tigrinus
Gammogobius steinitzi,Gammogobius steinitzi
Ganonema farinosum,Ganonema farinosum
Calyptospadix cerulea,Garveia franciscana
Gasterosteus aculeatus,Gasterosteus aculeatus
Gasterosteus aculeatus aculeatus,Gasterosteus aculeatus
Gasterosteus aculeatus williamsoni,Gasterosteus aculeatus
Gecarcinus lateralis,Gecarcinus lateralis
Gelidiella nigrescens,Gelidiella nigrescens
Gelidium pulchellum,Gelidium pulchellum
Gelidium pusillum,Gelidium pusillum
Gelidium pusillum var. pulvinatum,Gelidium pusillum
Gelidium pusillum var. pacificum,Gelidium pusillum
Gelidium spathulatum,Gelidium spathulatum
Gelidium spinosum,Gelidium spinosum
Gelidium vagum,Gelidium vagum
Gelliodes fibrosa,Gelliodes fibrosa
Gemma gemma,Gemma gemma
Geodia micropunctata,Geodia micropunctata
Geophagus brasiliensis,Geophagus brasiliensis
Gephyroberyx darwinii,Gephyroberyx darwinii
Geukensia demissa,Geukensia demissa
Gibbula albida,Gibbula albida
Gibbula ardens,Gibbula ardens
Gibelion catla,Gibelion catla
Gillichthys mirabilis,Gillichthys mirabilis
Gillichthys seta,Gillichthys seta
Girella simplicidens,Girella simplicidens
Giuris margaritacea,Giuris margaritacea
Glabropilumnus laevis,Glabropilumnus laevis
Glabropilumnus seminudus,Glabropilumnus seminudus
Glareola ocularis,Glareola ocularis
Glaucostegus halavi,Glaucostegus halavi
Glebocarcinus amphioetus,Glebocarcinus amphioetus
